-3923536 -3936196 -4049592 0
-3954608 -3948007 -3826982 0
-3985680 -3974154 -3844084 0
-4016752 -4014639 -3725703 0
-4047824 -3938390 -3599012 0
-3947824 -4007779 -3501675 0
-3978896 -3960201 -3415796 0
-4009968 -3926961 -3301365 0
-4041040 -4039130 -3175730 0
-3941040 -4034782 -3148001 0
-3972112 -4044551 -2967861 0
-4003184 -3937585 -2907604 0
-4034256 -3976029 -2846158 0
-3934256 -4029015 -2681126 0
-3965328 -3965059 -2559625 0
-3996400 -4046512 -2444365 0
-4027472 -4011231 -2383057 0
-3927472 -3990480 -2335038 0
-3958544 -3983870 -2247155 0
-3989616 -3991598 -2056388 0
-4020688 -4013664 -1995929 0
-3920688 -3919175 -1867350 0
-3951760 -3969912 -1788536 0
-3982832 -4034987 -1622975 0
-4013904 -3983327 -1532107 0
-4044976 -3946005 -1495260 0
-3944976 -3923185 -1436221 0
-3976048 -4045606 -1258859 0
-4007120 -3920221 -1223854 0
-4038192 -3940245 -1057107 0
-3938192 -3974760 -984975 0
-3969264 -4023456 -921283 0
-4000336 -3955418 -756496 0
-4031408 -4032789 -692910 0
-3931408 -3993566 -576156 0
-3962480 -3968537 -509653 0
-3993552 -3957845 -425429 0
-4024624 -3961491 -241869 0
-3924624 -3979603 -189825 0
-3955696 -4011920 -60855 0
-3986768 -3927504 19624 0
-4017840 -3988496 111131 0
-4048912 -3932754 244669 0
-3948912 -4022535 315157 0
-3979984 -3995465 352173 0
-4011056 -3982732 559075 0
-4042128 -3984337 676226 0
-3942128 -4000380 662330 0
-3973200 -4030656 756235 0
-4004272 -3944198 926778 0
-4035344 -4003150 981792 0
-3935344 -3945455 1109771 0
-3966416 -4033079 1279409 0
-3997488 -4003968 1352927 0
-4028560 -3989194 1376201 0
-3928560 -3988834 1548575 0
-3959632 -4002732 1618124 0
-3990704 -4030967 1743012 0
-4021776 -3942468 1845022 0
-3921776 -3999443 1975494 0
-3952848 -3939616 2047825 0
-3983920 -4025198 2123053 0
-4014992 -3994046 2190038 0
-4046064 -3977231 2288362 0
-3946064 -3974802 2371554 0
-3977136 -3986660 2470213 0
-4008208 -4012854 2628029 0
-4039280 -3922314 2734436 0
-3939280 -3977220 2848287 0
-3970352 -4046424 2915490 0
-4001424 -3998893 3043830 0
-4032496 -3965700 3102233 0
-3932496 -3946868 3171003 0
-3963568 -3942347 3374930 0
-3994640 -3952162 3370611 0
-4025712 -3976316 3493056 0
-3925712 -4014819 3642424 0
-3956784 -3936572 3757950 0
-3987856 -4003735 3863824 0
-4018928 -3954163 3944977 0
-4050000 -4050000 3950000 0
-3923536 -3836196 -4042568 0
-3954608 -3848007 -3857260 0
-3985680 -3874154 -3790818 0
-4016752 -3914639 -3636976 0
-4047824 -3838390 -3522905 0
